;;;;pib;Importaciones de bienes y servicios (US$ a precios actuales);Exportaciones de bienes y servicios (US$ a precios actuales);Total de reservas (incluye oro, US$ a precios actuales);Gasto público en educación, total (% del PIB);Esperanza de vida al nacer, total (años)
Macedonia del Norte;MKD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;12363580535;8712588273;7142622949;4126254084;;75.69317073
Malí;MLI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;17465392916;6345866121;5354300893;;3.763430119;58.633
Malta;MLT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;14933066819;20808223872;22721873215;930464309.4;5.869999886;82.65365854
Myanmar;MMR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;78930257227;20878696530;22615134490;7670070785;;66.797
Oriente Medio y Norte de África (excluido altos ingresos);MNA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.27409E+12;3.66223E+11;2.68434E+11;;;72.172697
Montenegro;MNE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4769860741;2910060399;1240005698;2134820420;;75.93170732
Mongolia;MNG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;13312981595;7345876643;7676311747;4545276809;4.659912109;72.141
Mariana;MNP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;
Mozambique;MOZ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;14028811072;9306575254;4151075575;47597082842;6.260590076;61.172
Mauritania;MRT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;8405491202;4538467095;3417828474;1493184646;1.881160021;64.532
Mauricio;MUS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;11401050655;5302577840;4489070295;7291065336;4.608170033;74.17707317
Malawi;MWI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;12182348213;;;594498493.6;2.907619953;63.717
Malasia;MYS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.37338E+11;1.8631E+11;2.07798E+11;1.07644E+11;3.916970015;75.938
América del Norte;NAC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.27128E+13;3.29461E+12;2.63502E+12;;5.610000134;77.74116282
Namibia;NAM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10581585630;4414902199;3536024303;2171055563;9.446900368;62.829
Nueva Caledonia;NCL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;9435529927;;;;;80.83495122
Níger;NER;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;13744174690;3542752951;1413658357;;3.837610006;61.451
Nigeria;NGA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.32199E+11;35586722061;35087257885;36729565818;;52.887
Nicaragua;NIC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;12586970511;5942967961;5309751005;3211903362;4.630000114;71.795
Países Bajos;NLD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;9.09793E+11;6.20445E+11;7.12054E+11;53971404675;5.300000191;81.4097561
Noruega;NOR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.62198E+11;1.19834E+11;1.16792E+11;75258813465;5.900000095;83.2097561
Nepal;NPL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;33433670512;11405420523;2275258178;11467799302;4.183101177;69.246
Nauru;NRU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;114626625.6;113956294.4;54296822.63;;5.167049885;
Nueva Zelandia;NZL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.11735E+11;47227785373;46404210822;13733288689;5.980000019;82.05609756
Miembros OCDE;OED;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.25171E+13;1.35154E+13;1.3584E+13;;5.25999999;79.00852411
Omán;OMN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;75909397659;34022401821;35719888947;15007356725;;74.757
Otros Estados pequeos;OSS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.78315E+11;2.04665E+11;2.14903E+11;;4.608170033;68.25018412
Pakistán;PAK;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.00426E+11;52327305703;27935258004;18521734364;2.365718365;66.269
Panamá;PAN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;53977000000;18605505000;21379165000;9613847649;3.906069994;76.657
Perú;PER;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.01705E+11;42659017425;45143208675;74779155758;4.246679783;73.665
Filipinas;PHL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.61751E+11;1.19257E+11;91171552541;1.0999E+11;3.734810591;72.119
Palau;PLW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;251900000;;;;;
